mixture,comp1,comp2,z1,Tc_K,Pc_MPa,source
C1–C2,C1,C2,0.05000,302.00,5.110,Hicks1975
C1–C2,C1,C2,0.14980,295.00,5.550,Hicks1975
C1–C2,C1,C2,0.19000,283.10,6.200,Hicks1975
C1–C2,C1,C2,0.30020,282.90,6.180,Hicks1975
C1–C2,C1,C2,0.40000,273.20,8.310,Hicks1975
C1–C2,C1,C2,0.50020,263.10,6.760,Hicks1975
C1–C2,C1,C2,0.56000,255.40,6.890,Hicks1975
C1–C2,C1,C2,0.70000,238.00,6.730,Hicks1975
C1–C2,C1,C2,0.82000,227.60,6.270,Hicks1975
C1–C2,C1,C2,0.85160,218.00,6.090,Hicks1975
C1–C2,C1,C2,0.92500,204.30,5.400,Hicks1975
C1–C2,C1,C2,0.95200,199.92,5.157,Hicks1975
C1–C2,C1,C2,0.96000,199.80,5.100,Hicks1975
C1–C2,C1,C2,0.97060,195.44,4.914,Hicks1975
C1–C2,C1,C2,0.97460,195.40,4.910,Hicks1975
C1–C2,C1,C2,0.98214,193.92,4.813,Hicks1975
C1–C2,C1,C2,0.99125,192.39,4.722,Hicks1975
C1–C3,C1,C3,0.10000,364.20,5.280,Hicks1975
C1–C3,C1,C3,0.14000,360.90,5.300,Hicks1975
C1–C3,C1,C3,0.17000,356.10,5.670,Hicks1975
C1–C3,C1,C3,0.20000,354.40,6.140,Hicks1975
C1–C3,C1,C3,0.28000,344.80,6.700,Hicks1975
C1–C3,C1,C3,0.30000,344.10,7.020,Hicks1975
C1–C3,C1,C3,0.32280,344.30,7.030,Hicks1975
C1–C3,C1,C3,0.40000,332.50,7.980,Hicks1975
C1–C3,C1,C3,0.42000,328.00,7.980,Hicks1975
C1–C3,C1,C3,0.46910,327.60,8.400,Hicks1975
C1–C3,C1,C3,0.49000,316.60,8.610,Hicks1975
C1–C3,C1,C3,0.50000,319.50,8.910,Hicks1975
C1–C3,C1,C3,0.57000,305.00,9.120,Hicks1975
C1–C3,C1,C3,0.58820,310.90,9.320,Hicks1975
C1–C3,C1,C3,0.60000,304.30,9.700,Hicks1975
C1–C3,C1,C3,0.67000,283.10,9.650,Hicks1975
C1–C3,C1,C3,0.67720,294.30,10.090,Hicks1975
C1–C3,C1,C3,0.70000,283.60,10.120,Hicks1975
C1–C3,C1,C3,0.74500,273.20,9.990,Hicks1975
C1–C3,C1,C3,0.74590,277.60,10.160,Hicks1975
C1–C3,C1,C3,0.80000,256.50,9.510,Hicks1975
C1–C3,C1,C3,0.82000,255.40,9.170,Hicks1975
C1–C3,C1,C3,0.83500,241.50,9.440,Hicks1975
C1–C3,C1,C3,0.92100,226.50,7.720,Hicks1975
C1–C3,C1,C3,0.94500,213.20,7.320,Hicks1975
C1–C3,C1,C3,0.94690,213.71,6.510,Hicks1975
C1–C3,C1,C3,0.96000,194.80,4.750,Hicks1975
C1–C3,C1,C3,0.98560,195.20,4.990,Hicks1975
C1–C3,C1,C3,0.99260,192.30,4.747,Hicks1975
C2–nC4,C2,nC4,0.07500,422.00,4.070,Hicks1975
C2–nC4,C2,nC4,0.17490,412.70,4.460,Hicks1975
C2–nC4,C2,nC4,0.38200,394.30,5.170,Hicks1975
C2–nC4,C2,nC4,0.45100,387.30,5.380,Hicks1975
C2–nC4,C2,nC4,0.60200,370.40,5.770,Hicks1975
C2–nC4,C2,nC4,0.62500,366.50,5.770,Hicks1975
C2–nC4,C2,nC4,0.65770,361.70,5.810,Hicks1975
C2–nC4,C2,nC4,0.81000,338.70,5.780,Hicks1975
