component,m,sigma_A,epsilon_k_K,omega,Tc_K_exp,Pc_MPa_exp,source_key
C1,1.000,3.704,150.030,0.011,190.564,4.599,SetzmannWagner1991_CH4
C2,1.607,3.521,191.420,0.100,305.320,4.872,BueckerWagner2006_C2H6
C3,2.002,3.618,208.110,0.152,369.890,4.248,LemmonMcLindenWagner2009_C3H8
iC4,2.562,3.757,216.530,0.184,407.810,3.648,BueckerWagner2006_C4s
nC4,2.332,3.709,222.880,0.201,425.120,3.796,BueckerWagner2006_C4s
iC5,2.562,3.830,230.750,0.227,460.350,3.381,AmbroseWalton1989_alkanes
nC5,2.690,3.773,231.200,0.251,469.700,3.370,AmbroseWalton1989_alkanes
nC6,3.058,3.798,236.770,0.300,507.600,3.030,AmbroseWalton1989_alkanes
nC7,3.483,3.805,238.400,0.349,540.200,2.740,AmbroseWalton1989_alkanes
CO2,2.073,2.785,169.210,0.224,304.128,7.377,SpanWagner1996_CO2
N2,1.205,3.313,90.960,0.037,126.192,3.396,SpanEtAl2000_N2
